frame,x_px,y_px,angle_raw_rad,angle_unwrap_rad, omega
494,633.167,516.694,-0.796782,11.7696,1.9345
495,638.302,511.832,-0.76454,11.8018,1.83894
496,642.65,506.702,-0.733891,11.8325,1.82251
497,647.196,501.835,-0.703516,11.8629,1.97079
498,651.805,496.3,-0.670669,11.8957,1.92145
499,655.878,490.579,-0.638645,11.9277,1.83773
500,659.857,485.175,-0.608016,11.9584,1.84335
501,663.779,479.696,-0.577294,11.9891,1.86163
502,667.219,473.825,-0.546267,12.0201,1.89034
503,670.687,467.858,-0.514761,12.0516,1.89848
504,674.245,461.897,-0.48312,12.0833,1.83811
505,677.181,455.854,-0.452484,12.1139,1.8381
506,680.352,449.916,-0.421849,12.1445,1.75245
507,682.622,443.915,-0.392642,12.1737,1.96688
508,685.236,437.219,-0.359861,12.2065,1.78933
509,687.779,431.178,-0.330038,12.2363,1.85947
510,689.795,424.678,-0.299047,12.2673,1.68563
511,691.147,418.653,-0.270953,12.2954,1.81476
512,693.189,412.331,-0.240707,12.3257,1.83056
513,694.721,405.811,-0.210198,12.3562,1.83659
514,695.851,399.187,-0.179588,12.3868,1.76334
515,696.686,392.793,-0.150199,12.4162,1.70013
516,697.766,386.67,-0.121864,12.4445,1.74493
517,698.664,380.346,-0.0927815,12.4736,1.77919
518,699.199,373.856,-0.0631283,12.5032,1.64273
519,699.218,367.84,-0.0357496,12.5306,1.80178
520,699.175,361.254,-0.0057199,12.5607,1.64232
521,699.175,355.254,0.021652,12.588,1.77914
522,699.142,348.747,0.0513044,12.6177,1.62642
523,698.7,342.816,0.0784114,12.6448,1.64108
524,698.367,336.818,0.105763,12.6721,1.66693
525,697.831,330.736,0.133545,12.6999,1.65602
526,696.656,324.782,0.161145,12.7275,1.67454
527,695.904,318.689,0.189054,12.7554,1.65057
528,694.629,312.779,0.216564,12.7829,1.58014
529,693.188,307.174,0.2429,12.8093,1.51495
530,691.802,301.804,0.268149,12.8345,1.54664
531,690.29,296.346,0.293926,12.8603,1.63578
532,688.302,290.696,0.321189,12.8876,1.58493
533,686.623,285.137,0.347605,12.914,1.4001
534,684.624,280.412,0.37094,12.9373,1.63005
535,682.687,274.757,0.398107,12.9645,1.49122
536,680.304,269.837,0.422961,12.9893,1.51481
537,678.282,264.657,0.448208,13.0146,1.51183
538,675.756,259.723,0.473405,13.0398,1.42605
539,673.196,255.165,0.497172,13.0635,1.4026
540,670.617,250.721,0.520549,13.0869,1.35462
